node benchmark.js ./stupid.js 32 10 20
0, 6.95, 0, 0
1, 2733.65, 3293184, 823296
2, 2848.05, 3292128, 823032
3, 2727.35, 3293184, 823296
4, 2673.4, 3289032, 822258
5, 2729.5, 3293184, 823296
6, 2741.1, 3293088, 823272
7, 2687.75, 3293184, 823296
8, 2729.2, 3286512, 821628
9, 2682.4, 3293184, 823296
10, 2772.95, 3293136, 823284



node benchmark.js ./culled.js 32 10 20
0, 81.8, 0, 0
1, 129.05, 82488, 20622
2, 147.85, 114696, 28674
3, 166.5, 146016, 36504
4, 180.8, 178792, 44698
5, 206.1, 209256, 52314
6, 208.45, 243672, 60918
7, 258.85, 272304, 68076
8, 267.6, 306640, 76660
9, 278.45, 334968, 83742
10, 297.15, 371496, 92874


node benchmark.js ./greedy.js 32 10 20
0, 92.4, 0, 0
1, 99.1, 20712, 5178
2, 103.1, 44068, 11017
3, 110.35, 61644, 15411
4, 126, 87984, 21996
5, 134.25, 102024, 25506
6, 151.4, 129344, 32336
7, 153.6, 142416, 35604
8, 167.85, 172140, 43035
9, 164.9, 182256, 45564
10, 198.3, 213452, 53363

node benchmark.js ./monotone.js 32 10 20
0, 203.8, 0, 0
1, 221.55, 25372, 19563
2, 234.6, 45462, 28410
3, 261.3, 67574, 43233
4, 283.85, 88570, 55712
5, 302.6, 110558, 69507
6, 332.2, 134578, 84174
7, 355.4, 155760, 97736
8, 373.3, 174672, 111557
9, 400.75, 199214, 125565
10, 437.5, 226628, 143088

